key,0,1,2,3,4
#,Name,SeparateType,DataType,JournalSection,
offset,0,4,5,6,7
int32,str,byte,byte,JournalSection,byte
0,"無效分類",0,0,255,0
1,"重生之境主線任務",1,1,0,0
2,"第七星曆主線任務",1,1,0,0
3,"蒼穹之禁城主線任務",1,1,0,0
4,"龍詩戰爭終章主線任務",1,1,0,0
5,"龍詩戰爭尾聲主線任務",1,1,0,0
6,"紅蓮之狂潮主線任務",1,1,0,0
7,"解放戰爭戰後主線任務",1,1,0,0
8,"暗影之逆焰主線任務",1,1,0,0
9,"拂曉回歸主線任務",1,1,0,0
10,"末日序曲主線任務",1,1,0,0
11,"曉月之終途主線任務",1,1,0,0
12,"嶄新的冒險主線任務",1,1,0,0
13,"金曦之遺輝主線任務",1,1,1,0
14,"金曦之遺輝終章主線任務",1,1,1,0
15,"第七星曆編年史：蠻神",1,1,2,0
16,"第七星曆編年史：巴哈姆特",1,1,2,0
17,"第七星曆編年史：水晶塔",1,1,2,0
18,"第七星曆編年史：亞歷山大",1,1,2,0
19,"第七星曆編年史：上古眾神",1,1,2,0
20,"第七星曆編年史：瑪哈之影",1,1,2,0
21,"第七星曆編年史：歐米茄",2,1,2,0
22,"第七星曆編年史：重返伊瓦利斯",1,1,2,0
23,"第七星曆編年史：四聖獸奇譚",1,1,2,0
24,"第七星曆編年史：伊甸",1,1,2,0
25,"寄葉異聞：暗黑天啟",1,1,2,0
26,"第七星曆編年史：維爾利特戰役",1,1,2,0
27,"第七星曆編年史：萬魔殿",2,1,2,0
28,"第七星曆編年史：艾歐澤亞神話",1,1,2,0
29,"第七星曆編年史：阿卡狄亞",1,1,2,0
30,"クロニクルクエスト：エコーズ オブ ヴァナ・ディール",1,1,2,0
31,"佩魯佩魯族任務",2,1,5,0
32,"各族盟友任務",2,1,5,0
33,"蜥蜴人族任務",2,1,4,0
34,"妖精族任務",2,1,4,0
35,"地靈族任務",2,1,4,0
36,"魚人族任務",2,1,4,0
37,"鳥人族任務",2,1,4,0
38,"瓦努族任務",2,1,4,0
39,"骨頜族任務",2,1,4,0
40,"莫古力族任務",2,1,4,0
41,"甲人族任務",2,1,4,0
42,"阿難陀族任務",2,1,4,0
43,"鯰魚精族任務",2,1,4,0
44,"仙子族任務",2,1,4,0
45,"奇塔利族任務",2,1,4,0
46,"矮人族任務",2,1,4,0
47,"悌陽象族任務",2,1,4,0
48,"奧密克戎族任務",2,1,4,0
49,"兔兔族任務",2,1,4,0
50,"各族盟友任務",2,1,4,0
51,"主線劇情外傳任務",2,1,3,0
52,"非著名調查員支線任務",2,1,3,0
53,"武器強化支線任務",2,1,3,0
54,"特殊內容支線任務",2,1,3,0
55,"支線劇情任務",2,1,3,0
56,"拉諾西亞支線任務",3,1,3,0
57,"黑衣森林支線任務",3,1,3,0
58,"薩納蘭支線任務",3,1,3,0
59,"庫爾札斯支線任務",3,1,3,0
60,"摩杜納支線任務",3,1,3,0
61,"伊修加德支線任務",3,1,3,0
62,"阿巴拉提亞支線任務",3,1,3,0
63,"龍堡支線任務",3,1,3,0
64,"魔大陸支線任務",3,1,3,0
65,"基拉巴尼亞支線任務",3,1,3,0
66,"奧薩德支線任務",3,1,3,0
67,"遠東之國支線任務",3,1,3,0
68,"雷克蘭德支線任務",3,1,3,0
69,"珂露西亞島支線任務",3,1,3,0
70,"安穆·艾蘭支線任務",3,1,3,0
71,"伊爾美格支線任務",3,1,3,0
72,"拉凱提卡大森林支線任務",3,1,3,0
73,"黑風海支線任務",3,1,3,4
74,"薩雷安支線任務",3,1,3,0
75,"薩維奈島支線任務",3,1,3,0
76,"加雷馬支線任務",3,1,3,0
77,"嘆息海支線任務",3,1,3,7
78,"厄爾庇斯支線任務",3,1,3,9
79,"天外天垓支線任務",3,1,3,8
80,"尤卡圖拉爾支線任務",3,1,3,0
81,"薩卡圖拉爾支線任務",3,1,3,0
82,"無失世界支線任務",3,1,3,27
83,"戰鬥菁英職業任務",2,1,6,0
84,"魔法導師職業任務",2,1,6,0
85,"能工巧匠職業任務",2,1,6,0
86,"大地使者職業任務",2,1,6,0
87,"中庸工藝館交易職業任務",2,1,6,0
88,"薩雷安魔法大學交易職業任務",2,1,6,0
89,"珠串萬貨街交易職業任務",2,1,6,0
90,"戰鬥菁英特職任務",2,1,6,0
91,"魔法導師特職任務",2,1,6,0
92,"職能任務",2,1,6,0
93,"軍隊任務",2,1,7,0
94,"季節活動",2,1,7,0
95,"其他任務",2,1,7,0
96,"傭兵理符",3,2,8,0
97,"採礦理符",3,2,8,0
98,"園藝理符",3,2,8,0
99,"釣魚理符",3,2,8,0
100,"木工理符",3,2,8,0
101,"鍛冶理符",3,2,8,0
102,"鑄甲理符",3,2,8,0
103,"雕金理符",3,2,8,0
104,"製革理符",3,2,8,0
105,"裁縫理符",3,2,8,0
106,"煉金理符",3,2,8,0
107,"烹調理符",3,2,8,0
108,"神殿騎士團傭兵理符",3,2,8,0
109,"神殿騎士團採礦理符",3,2,8,0
110,"神殿騎士團園藝理符",3,2,8,0
111,"神殿騎士團釣魚理符",3,2,8,0
112,"神殿騎士團木工理符",3,2,8,0
113,"神殿騎士團鍛冶理符",3,2,8,0
114,"神殿騎士團鑄甲理符",3,2,8,0
115,"神殿騎士團雕金理符",3,2,8,0
116,"神殿騎士團製革理符",3,2,8,0
117,"神殿騎士團裁縫理符",3,2,8,0
118,"神殿騎士團煉金理符",3,2,8,0
119,"神殿騎士團烹調理符",3,2,8,0
120,"特殊部隊理符",2,2,8,0
121,"軍隊理符",2,2,8,0
122,"迷宮挑戰",2,3,9,0
123,"コンテンツ：蒼天のイシュガルド",2,3,9,0
124,"コンテンツ：紅蓮のリベレーター",2,3,9,0
125,"コンテンツ：漆黒のヴィランズ",2,3,9,0
126,"コンテンツ：暁月のフィナーレ",2,3,9,0
127,"コンテンツ：黄金のレガシー",2,3,9,0
128,"遺產任務",2,4,7,0
