key,0,1,2,3,4,5,6,7
#,Image,Icon,UnlockCondition,SortKey,Name,,,
offset,4,8,20,12,14,16,18,0
int32,Image,Image,BannerCondition,uint16,uint16,uint16,uint16,str
0,0,82092,0,0,0,0,0,"なし"
1,191001,82092,1,1,0,0,1,"なし"
2,191002,82092,1,1,0,0,3,"褪色：黑"
3,191003,82092,1,1,0,0,2,"褪色：白"
4,191004,82092,1,1,0,0,7,"簡易邊框：白"
5,191005,82092,1,1,0,0,5,"金屬邊框：銀"
6,191006,82092,1,1,0,0,4,"金屬邊框：金"
7,191007,82092,1,1,0,0,10,"日誌"
8,191008,82092,1,1,0,0,8,"簡易邊框：棕色"
9,191009,82092,1,1,0,0,9,"簡易邊框：金屬"
10,191010,82092,1,1,0,0,20,"古董"
11,191011,82092,1,1,0,0,21,"角花"
12,191301,82092,2,124,0,0,2000,"騎士"
13,191302,82092,2,125,0,0,2001,"戰士"
14,191303,82092,2,126,0,0,2002,"暗黑騎士"
15,191304,82092,2,127,0,0,2003,"絕槍戰士"
16,191305,82092,2,128,0,0,2004,"白魔法師"
17,191306,82092,2,129,0,0,2005,"學者"
18,191307,82092,2,130,0,0,2006,"占星術士"
19,191308,82092,2,131,0,0,2007,"賢者"
20,191309,82092,2,132,0,0,2008,"武僧"
21,191310,82092,2,133,0,0,2009,"龍騎士"
22,191311,82092,2,134,0,0,2010,"忍者"
23,191312,82092,2,135,0,0,2011,"武士"
24,191313,82092,2,136,0,0,2012,"釤鐮客"
25,191314,82092,2,137,0,0,2014,"吟遊詩人"
26,191315,82092,2,138,0,0,2015,"機工士"
27,191316,82092,2,139,0,0,2016,"舞者"
28,191317,82092,2,140,0,0,2017,"黑魔法師"
29,191318,82092,2,141,0,0,2018,"召喚師"
30,191319,82092,2,142,0,0,2019,"赤魔法師"
31,191401,82092,5,143,0,0,3000,"星極隊"
32,191402,82092,5,144,0,0,3001,"靈極隊"
33,191403,82092,5,145,0,0,3200,"第1賽季水晶衝突：王者"
34,191404,82092,5,146,0,0,3201,"第1賽季水晶衝突：勇者"
35,191405,82092,5,147,0,0,3202,"第1賽季水晶衝突：獲獎者"
36,191406,82092,5,148,0,0,3208,"第1賽季水晶衝突：青銅"
37,191407,82092,5,149,0,0,3207,"第1賽季水晶衝突：白銀"
38,191408,82092,5,150,0,0,3206,"第1賽季水晶衝突：黃金"
39,191409,82092,5,151,0,0,3205,"第1賽季水晶衝突：白金"
